arr_delay,dep_delay,carrier,tailnum,origin,dest,distance,time
30,-7,AS,N268AK,LAX,EWR,2454,2022-01-17T10:20:00Z
-4,-1,AA,N115NN,LAX,JFK,2475,2022-01-17T12:45:00Z
-11,-5,WN,N8668A,LAX,SLC,590,2022-01-17T13:50:00Z
34,38,B6,N968JT,LAX,EWR,2454,2022-01-17T14:16:00Z
-13,-4,WN,N8307K,LAX,LAS,236,2022-01-17T17:20:00Z
-7,0,OO,N125SY,LAX,SLC,590,2022-01-17T20:55:00Z
4,12,B6,N638JB,LAX,JAX,2153,2022-01-17T23:35:00Z
1,-5,DL,N338DN,LAX,DTW,1979,2022-01-18T05:55:00Z
-16,-4,UA,N63899,LAX,IAH,1379,2022-01-18T08:15:00Z
-20,-5,UA,N37506,LAX,BOS,2611,2022-01-18T08:20:00Z
-23,-8,OO,N263SY,LAX,SFO,337,2022-01-18T13:02:00Z
-26,-9,UA,N26215,LAX,CLE,2052,2022-01-18T13:06:00Z
-20,-4,AA,N955NN,LAX,AUS,1242,2022-01-18T15:35:00Z
0,4,DL,N881DN,LAX,PDX,834,2022-01-18T19:30:00Z
38,40,OO,N173SY,LAX,SJC,308,2022-01-18T21:00:00Z
-20,-11,AA,N567UW,LAX,PHX,370,2022-01-19T06:05:00Z
-20,-4,HA,N390HA,LAX,OGG,2486,2022-01-19T07:45:00Z
-18,10,DL,N592NW,LAX,HNL,2556,2022-01-19T08:05:00Z
-9,-9,AS,N278AK,LAX,EWR,2454,2022-01-19T08:20:00Z
-1,3,AA,N400AN,LAX,KOA,2504,2022-01-19T09:45:00Z
-11,-4,WN,N938WN,LAX,DEN,862,2022-01-19T13:35:00Z
2,-3,OO,N177SY,LAX,SLC,590,2022-01-19T14:40:00Z
-25,-6,UA,N471UA,LAX,SFO,337,2022-01-19T16:20:00Z
-1,-1,OO,N138SY,LAX,SLC,590,2022-01-19T20:55:00Z
-17,-9,OO,N274SY,LAX,SAN,109,2022-01-19T21:02:00Z
-10,-1,DL,N710TW,LAX,BOS,2611,2022-01-19T21:35:00Z
16,-3,DL,N538US,LAX,MSP,1535,2022-01-20T06:25:00Z
-21,-11,WN,N942WN,LAX,SMF,373,2022-01-20T12:30:00Z
2,5,AA,N813NN,LAX,LAS,236,2022-01-20T15:30:00Z
-13,13,DL,N535US,LAX,OGG,2486,2022-01-20T15:59:00Z
-10,-7,NK,N523NK,LAX,IAH,1379,2022-01-20T18:30:00Z
-21,0,AA,N568UW,LAX,CLT,2125,2022-01-20T23:45:00Z
-6,-8,OO,N140SY,LAX,BZN,902,2022-01-21T08:25:00Z
-5,-2,AA,N437AN,LAX,DCA,2311,2022-01-21T09:02:00Z
27,-2,OO,N171SY,LAX,BOI,674,2022-01-21T09:05:00Z
110,96,OO,N905EV,LAX,FAT,209,2022-01-21T09:42:00Z
14,23,OO,N785SK,LAX,ASE,737,2022-01-21T10:05:00Z
-35,-8,AS,N478AS,LAX,HNL,2556,2022-01-21T10:30:00Z
-18,0,OO,N284SY,LAX,PHX,370,2022-01-21T11:15:00Z
-12,-1,UA,N27477,LAX,DEN,862,2022-01-21T14:35:00Z
-18,-2,UA,N68822,LAX,DEN,862,2022-01-21T18:55:00Z
-6,-8,OO,N624UX,LAX,ACV,577,2022-01-21T18:55:00Z
-12,4,B6,N937JB,LAX,FLL,2343,2022-01-21T21:50:00Z
-7,-12,AA,N519UW,LAX,ATL,1947,2022-01-21T23:14:00Z
-4,-3,AA,N194UW,LAX,DFW,1235,2022-01-22T01:14:00Z
-29,-10,AA,N440AN,LAX,LIH,2615,2022-01-22T08:39:00Z
11,-4,B6,N968JT,LAX,EWR,2454,2022-01-22T08:49:00Z
-44,-8,AA,N429AN,LAX,KOA,2504,2022-01-22T09:45:00Z
-47,10,WN,N8708Q,LAX,KOA,2504,2022-01-22T10:30:00Z
-39,1,HA,N218HA,LAX,KOA,2504,2022-01-22T11:10:00Z
-1,-6,OO,N872DC,LAX,ASE,737,2022-01-22T12:32:00Z
-16,-7,AS,N284AK,LAX,SEA,954,2022-01-22T14:00:00Z
-17,-3,OO,N374CA,LAX,IAH,1379,2022-01-22T17:00:00Z
22,20,DL,N587NW,LAX,ATL,1947,2022-01-22T22:40:00Z
1,0,AA,N171US,LAX,DFW,1235,2022-01-23T00:02:00Z
-4,9,OO,N299SY,LAX,SFO,337,2022-01-23T08:05:00Z
-54,-14,HA,N218HA,LAX,LIH,2615,2022-01-23T08:30:00Z
-14,-8,OO,N274SY,LAX,PHX,370,2022-01-23T11:15:00Z
6,8,OO,N268SY,LAX,BOI,674,2022-01-23T12:42:00Z
29,36,OO,N512SY,LAX,SEA,954,2022-01-23T13:45:00Z
16,11,OO,N287SY,LAX,LAS,236,2022-01-23T14:15:00Z
-6,12,OO,N199SY,LAX,SFO,337,2022-01-23T16:30:00Z
-11,-6,DL,N344NW,LAX,DFW,1235,2022-01-23T17:00:00Z
-6,-6,AA,N108NN,LAX,BOS,2611,2022-01-23T23:59:00Z
-15,1,UA,N34137,LAX,JFK,2475,2022-01-24T07:20:00Z
-48,-1,WN,N8714Q,LAX,LIH,2615,2022-01-24T07:25:00Z
-21,-10,AA,N816AW,LAX,LAS,236,2022-01-24T08:21:00Z
-37,8,WN,N8701Q,LAX,KOA,2504,2022-01-24T10:30:00Z
-22,-2,WN,N8740A,LAX,SFO,337,2022-01-24T13:20:00Z
14,26,OO,N750SK,LAX,TUS,451,2022-01-24T15:17:00Z
-9,-5,WN,N938WN,LAX,DAL,1246,2022-01-24T16:40:00Z
23,6,NK,N617NK,LAX,CMH,1995,2022-01-24T17:37:00Z
